session,AI,driver,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,startpos
F2_19R07MON_R1,,PIQ,S,S,S,S,S,S,S,S,S,S,9
F2_19R07MON_R1,,KAR,S,S,S,S,S,S,S,S,S,S,11
F2_19R07MON_R1,,PUL,S,S,S,S,S,S,S,S,S,S,27
F2_19R07MON_R1,,VIP,S,S,S,S,S,S,S,S,S,S,17
F2_19R07MON_R1,,YIF,S,S,S,S,S,S,S,S,S,S,30
F2_19R07MON_R1,,PER,S,S,S,S,S,S,S,S,S,S,13
F2_19R07MON_R1,,DEL,S,S,S,S,S,S,S,S,S,S,25
F2_19R07MON_R1,,FER,S,S,S,S,S,S,S,S,S,S,19
F2_19R07MON_R1,,ARM,S,S,S,S,S,S,S,S,S,S,7
F2_19R07MON_R1,,DAR,S,S,S,S,S,S,S,S,S,S,10
F2_19R07MON_R1,,SHW,S,S,S,S,S,S,S,S,S,S,8
F2_19R07MON_R1,,NAT,S,S,S,S,S,S,S,S,S,S,12
F2_19R07MON_R1,,DRU,S,S,S,S,S,S,S,S,S,S,29
F2_19R07MON_R1,,SAR,S,S,S,S,S,S,S,S,S,S,22
